pipe:4, 9

167.848 2.415 -12.374
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
179.924 179.987 179.944
179.926 179.995 179.933
179.922 -179.991 179.921
179.917 179.993 179.925
179.915 -179.993 179.923
179.911 -179.993 179.939
179.91 179.99 179.964
179.912 -179.99 179.982
179.918 -179.983 179.987
179.927 -179.959 179.982
179.943 -179.966 179.953
179.933 -179.95 179.938
179.921 -179.934 179.974
179.913 -179.927 179.961
179.911 -179.923 179.966
179.902 -179.914 179.954
179.913 -179.934 179.929
179.921 -179.937 179.906
179.918 -179.96 179.893
179.906 -179.986 179.9
179.894 -179.976 179.933
179.891 -179.965 179.939
179.891 -179.974 179.947
sumTime,angle,sumTime,angleCorrectionPower: , 6276.03 ,  -3.412 , 6276.03 , -6.98778 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6292.39 ,  -3.67599 , 6292.39 , -7.52844 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6308.87 ,  -3.71899 , 6308.87 , -7.6165 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6326.86 ,  -3.10201 , 6326.86 , -6.35291 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6343.19 ,  -0.496002 , 6343.19 , -1.01581 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6359.39 ,  0.926 , 6359.39 , 1.89645 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6376.84 ,  2.023 , 6376.84 , 4.1431 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6392.67 ,  2.825 , 6392.67 , 5.7856 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6408.5 ,  3.232 , 6408.5 , 6.61914 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6424.46 ,  2.915 , 6424.46 , 5.96992 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6440.39 ,  2.654 , 6440.39 , 5.43539 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6456.66 ,  2.07 , 6456.66 , 4.23936 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
