Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.191 , 0.269 , 0.985 
Raw Acc: , 0.193 , -0.249 , -0.949 , Grav: , -0.205 , 0.258 , 0.966 
Raw Acc: , 0.193 , -0.249 , -0.949 , Grav: , -0.202 , 0.254 , 0.967 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.19 , 0.246 , 0.964 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.197 , 0.249 , 0.979 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.202 , 0.256 , 0.985 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.203 , 0.262 , 0.967 
Raw Acc: , 0.193 , -0.249 , -0.949 , Grav: , -0.195 , 0.265 , 0.975 
Raw Acc: , 0.193 , -0.25 , -0.949 , Grav: , -0.204 , 0.3 , 0.966 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.197 , 0.197 , 0.985 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.193 , 0.263 , 0.976 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.211 , 0.26 , 0.978 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.197 , 0.261 , 0.978 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.201 , 0.256 , 0.955 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.192 , 0.252 , 0.975 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.196 , 0.246 , 0.964 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.195 , 0.258 , 0.978 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.2 , 0.252 , 0.965 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.202 , 0.251 , 0.985 
Raw Acc: , 0.194 , -0.248 , -0.949 , Grav: , -0.209 , 0.253 , 0.968 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.195 , 0.248 , 0.968 
Raw Acc: , 0.191 , -0.248 , -0.95 , Grav: , -0.14 , 0.255 , 0.989 
Raw Acc: , 0.191 , -0.248 , -0.95 , Grav: , -0.205 , 0.261 , 0.994 
Raw Acc: , 0.191 , -0.248 , -0.95 , Grav: , -0.198 , 0.261 , 0.99 
Raw Acc: , 0.192 , -0.248 , -0.95 , Grav: , -0.208 , 0.252 , 0.964 
Raw Acc: , 0.192 , -0.248 , -0.95 , Grav: , -0.21 , 0.255 , 0.964 
Raw Acc: , 0.192 , -0.248 , -0.95 , Grav: , -0.183 , 0.258 , 0.97 
Raw Acc: , 0.192 , -0.248 , -0.95 , Grav: , -0.196 , 0.256 , 0.982 
Raw Acc: , 0.192 , -0.248 , -0.95 , Grav: , -0.198 , 0.256 , 0.98 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.194 , 0.265 , 0.966 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.193 , 0.253 , 0.952 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.199 , 0.251 , 0.966 
Raw Acc: , 0.191 , -0.249 , -0.95 , Grav: , -0.19 , 0.255 , 0.974 
Raw Acc: , 0.191 , -0.249 , -0.949 , Grav: , -0.193 , 0.262 , 0.973 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.212 , 0.258 , 0.995 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.199 , 0.256 , 0.968 
Raw Acc: , 0.192 , -0.248 , -0.949 , Grav: , -0.2 , 0.251 , 0.966 
Raw Acc: , 0.192 , -0.246 , -0.95 , Grav: , -0.204 , 0.194 , 0.968 
Raw Acc: , 0.192 , -0.246 , -0.95 , Grav: , -0.195 , 0.246 , 0.981 
Raw Acc: , 0.192 , -0.246 , -0.95 , Grav: , -0.193 , 0.256 , 0.978 
Raw Acc: , 0.192 , -0.246 , -0.95 , Grav: , -0.2 , 0.261 , 0.969 
Raw Acc: , 0.192 , -0.246 , -0.95 , Grav: , -0.205 , 0.249 , 0.965 
Raw Acc: , 0.192 , -0.246 , -0.95 , Grav: , -0.186 , 0.246 , 0.974 
Raw Acc: , 0.192 , -0.246 , -0.95 , Grav: , -0.193 , 0.255 , 0.987 
Raw Acc: , 0.192 , -0.246 , -0.95 , Grav: , -0.204 , 0.25 , 0.975 
Raw Acc: , 0.192 , -0.244 , -0.951 , Grav: , -0.201 , 0.2 , 0.985 
Raw Acc: , 0.193 , -0.244 , -0.95 , Grav: , -0.205 , 0.25 , 0.966 
Raw Acc: , 0.193 , -0.244 , -0.95 , Grav: , -0.203 , 0.258 , 0.96 
Raw Acc: , 0.193 , -0.244 , -0.95 , Grav: , -0.2 , 0.248 , 0.992 
Raw Acc: , 0.195 , -0.244 , -0.95 , Grav: , -0.246 , 0.25 , 0.97 
Raw Acc: , 0.195 , -0.244 , -0.95 , Grav: , -0.206 , 0.265 , 0.983 
Raw Acc: , 0.195 , -0.245 , -0.95 , Grav: , -0.208 , 0.266 , 0.992 
Raw Acc: , 0.195 , -0.245 , -0.95 , Grav: , -0.195 , 0.252 , 0.975 
Raw Acc: , 0.195 , -0.244 , -0.95 , Grav: , -0.202 , 0.248 , 0.967 
Raw Acc: , 0.195 , -0.247 , -0.949 , Grav: , -0.205 , 0.306 , 0.957 
Raw Acc: , 0.195 , -0.249 , -0.949 , Grav: , -0.196 , 0.311 , 0.976 
Raw Acc: , 0.195 , -0.249 , -0.949 , Grav: , -0.208 , 0.258 , 0.964 
Raw Acc: , 0.195 , -0.25 , -0.948 , Grav: , -0.207 , 0.27 , 0.978 
Raw Acc: , 0.195 , -0.249 , -0.949 , Grav: , -0.197 , 0.242 , 0.974 
Raw Acc: , 0.195 , -0.249 , -0.949 , Grav: , -0.192 , 0.255 , 0.968 
