Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.203 , 0.339 , 0.948 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.212 , 0.333 , 0.946 
Raw Acc: , 0.205 , -0.328 , -0.922 , Grav: , -0.223 , 0.341 , 0.957 
Raw Acc: , 0.204 , -0.328 , -0.923 , Grav: , -0.203 , 0.331 , 0.996 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.201 , 0.331 , 0.886 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.215 , 0.33 , 0.956 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.211 , 0.337 , 0.948 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.209 , 0.329 , 0.937 
Raw Acc: , 0.205 , -0.327 , -0.922 , Grav: , -0.227 , 0.33 , 0.961 
Raw Acc: , 0.205 , -0.327 , -0.922 , Grav: , -0.219 , 0.325 , 0.938 
Raw Acc: , 0.205 , -0.327 , -0.923 , Grav: , -0.196 , 0.327 , 0.933 
Raw Acc: , 0.205 , -0.327 , -0.923 , Grav: , -0.212 , 0.331 , 0.943 
Raw Acc: , 0.205 , -0.327 , -0.923 , Grav: , -0.209 , 0.332 , 0.947 
Raw Acc: , 0.205 , -0.327 , -0.923 , Grav: , -0.211 , 0.344 , 0.956 
Raw Acc: , 0.205 , -0.327 , -0.923 , Grav: , -0.207 , 0.328 , 0.935 
Raw Acc: , 0.205 , -0.327 , -0.923 , Grav: , -0.214 , 0.33 , 0.943 
Raw Acc: , 0.204 , -0.327 , -0.923 , Grav: , -0.194 , 0.34 , 0.953 
Raw Acc: , 0.204 , -0.327 , -0.923 , Grav: , -0.204 , 0.333 , 0.954 
